word,category,mean Happiness,mean Anger,mean Sadness,mean Fear,mean Disgust,distance to H,distance to A,distance to S,distance to F,distance to D,distance to N
butelka,U,2.7307692,1.7692307,1.6923077,1.8461539,1.6538461,5.093218,6.518986,6.595316,6.426756,6.561565,2.944779
"porządek",U,4.3461537,1.6923077,1.1923077,1.5769231,1.5384616,3.424605,6.870742,7.2791376,6.9837775,6.92449,3.99257
"negować",U,1.6153846,2.8076923,2.2307692,2.2307692,1.8076923,6.696698,5.56142,6.265168,6.242525,6.561762,3.1878035
organ,U,2.3461537,1.6153846,2.1538463,2.5769231,2.7307692,6.1829424,7.0242667,6.5723453,6.149305,5.903861,3.6721828
igloo,U,4.0,1.0,1.3461539,1.9615384,1.0769231,3.7046804,7.2230935,6.928721,6.337301,7.149079,3.5172553
"węgorz",U,2.8076923,1.4230769,1.3846154,1.9615384,2.5769231,5.35442,7.2012167,7.2342997,6.750662,5.810038,3.8254492
nielegalny,U,1.5769231,3.5769231,2.6538463,4.3076925,2.5384614,8.057115,6.6493483,7.4438477,5.6348267,7.6088386,5.759644
paw,U,4.1153846,1.2692307,1.6538461,1.5,1.4230769,3.6779897,7.11292,6.7657504,6.883985,6.8293676,3.760343
"zasłużony",U,4.8076925,1.0769231,1.5,1.1538461,1.1923077,2.6420798,7.3535404,6.9795246,7.3063374,7.267329,3.9950354
kryzys,U,1.2692307,4.269231,4.0,4.730769,3.0769231,9.179171,7.17505,7.3987775,6.7313013,8.176907,6.730832
parlament,U,1.7692307,4.076923,2.7692308,2.1923077,3.0,7.6767545,5.6841717,6.927468,7.4768577,6.696625,5.1833706
znalazca,U,4.4615383,1.5769231,1.5769231,2.0,1.1153846,3.608785,7.1397023,7.146752,6.8161173,7.483035,4.150349
nienaganny,U,3.7307692,1.7307693,1.5,1.4615384,1.3846154,3.9280353,6.504975,6.7542577,6.789236,6.8428574,3.506691
"aprobujący",U,3.8846154,1.3846154,1.2307693,1.4615384,1.3076923,3.5814056,6.796082,6.92322,6.719651,6.784493,3.3073263
praktyka,U,3.1923077,1.6923077,1.6923077,2.3846154,1.5,4.856393,6.69994,6.707795,6.0079703,6.851565,3.3729143
hormonalny,U,2.0769231,2.0769231,2.1923077,2.9615386,2.3461537,6.5080614,6.8426886,6.723788,5.943339,6.5733767,3.7510939
tratwa,U,3.6153846,1.3846154,1.5384616,2.9615386,1.0769231,4.6947513,7.2141705,7.0641704,5.7301335,7.4348116,3.9001071
"towarzyszyć",U,5.230769,1.3461539,1.3846154,1.7692307,1.0769231,2.5341191,7.4097843,7.337634,7.047422,7.591916,4.5585103
wschodni,U,2.6153846,1.7307693,1.7307693,2.0,1.7307693,5.387466,6.435676,6.378417,6.1924663,6.451103,2.7918172
"kontynuować",U,3.3461537,1.7307693,1.6923077,2.0769231,1.3076923,4.5839167,6.5134935,6.542813,6.183729,6.874928,3.18317
"zadłużony",U,1.1923077,4.4615383,4.423077,5.0,3.3076923,9.626174,7.470508,7.5328455,6.9166665,8.28785,7.3509426
przypadek,U,3.2692308,2.3846154,2.0384614,2.7692308,1.6923077,5.5031834,6.4094625,6.886284,6.206632,7.04672,4.1163836
heretyk,U,1.8076923,2.8461537,2.3846154,2.6923077,2.4230769,6.86177,6.378809,6.7813725,6.596395,6.798028,4.1926665
